Customer_Key,Type,Segment,Recency,Frequency,Monetary,Tenure,Streaming,RFMscore,RFMSscore
16693,BTC,1,4,2,2,2,1,8,9
17135,BTC,2,3,3,4,3,1,10,11
17417,BTC,2,3,4,4,4,3,11,14
17579,BTB,3,4,3,4,3,1,11,12
17761,Unknown,NA,3,2,2,2,4,7,11
17823,BTC,1,3,1,2,2,1,6,7
18196,Unknown,NA,3,1,2,1,4,6,10
18521,BTC,2,2,4,4,4,4,10,14
18535,BTC,3,1,2,1,2,4,4,8
18672,BTC,1,3,1,1,1,1,5,6
18886,BTC,2,3,4,4,4,4,11,15
19219,Unknown,NA,4,2,3,2,4,9,13
19771,BTC,1,4,1,1,1,3,6,9
20007,BTC,NA,2,2,3,4,NA,7,NA
20100,BTC,1,2,1,1,2,2,4,6
20150,BTC,2,2,3,3,3,1,8,9
20459,Unknown,NA,1,1,1,1,NA,3,NA
20508,BTC,3,4,2,2,2,3,8,11
20539,BTC,3,1,2,3,4,4,6,10
20547,BTC,2,2,3,4,4,4,9,13
20583,BTC,2,3,4,3,4,4,10,14
20656,BTC,3,2,1,2,2,4,5,9
20789,BTC,2,1,4,4,4,4,9,13
20799,BTC,2,1,3,4,4,1,8,9
20854,Unknown,NA,4,1,1,1,3,6,9
21170,BTC,1,2,3,2,3,1,7,8
21235,BTS,3,2,2,3,3,4,7,11
21691,BTB,1,3,1,1,1,1,5,6
21819,BTS,2,4,3,4,3,1,11,12
21820,BTC,3,3,2,3,2,4,8,12
22190,BTS,2,3,3,4,4,3,10,13
22198,BTS,4,3,2,2,2,1,7,8
22204,BTB,3,3,4,4,3,1,11,12
22226,BTC,3,1,3,3,4,4,7,11
22273,BTC,3,1,2,3,2,3,6,9
22344,BTC,2,2,2,2,3,1,6,7
22350,BTC,2,3,4,3,4,4,10,14
22391,BTC,2,1,4,4,3,1,9,10
22547,Unknown,NA,4,1,3,2,4,8,12
22697,BTC,2,1,3,4,4,1,8,9
22738,Unknown,NA,4,1,1,1,1,6,7
22748,BTC,1,4,3,2,1,1,9,10
22753,BTC,2,3,4,4,3,4,11,15
23100,BTC,3,1,2,2,2,3,5,8
23702,BTC,2,4,4,4,4,4,12,16
23775,BTC,2,1,4,4,4,3,9,12
23915,BTC,1,2,1,1,1,3,4,7
24173,BTC,1,2,1,2,2,2,5,7
24323,BTC,1,4,2,2,2,1,8,9
24362,BTC,2,4,3,4,3,1,11,12
24663,BTC,3,1,2,1,2,2,4,6
24673,Unknown,NA,3,1,1,1,2,5,7
24676,BTC,3,4,3,3,3,4,10,14
24945,BTC,1,4,2,2,4,1,8,9
25345,Unknown,NA,1,1,1,1,3,3,6
25976,BTC,2,1,3,4,3,1,8,9
26013,BTC,2,4,4,4,3,1,12,13
26059,Unknown,NA,1,1,1,1,4,3,7
26674,Unknown,NA,1,2,3,2,4,6,10
26783,BTC,2,2,3,4,4,1,9,10
26794,BTC,NA,1,1,1,1,NA,3,NA
27014,BTC,3,1,3,1,2,3,5,8
27016,BTC,2,2,4,4,3,1,10,11
27058,BTC,2,3,3,4,3,1,10,11
27065,BTC,NA,2,1,2,1,NA,5,NA
27066,BTC,2,4,3,4,3,4,11,15
27162,BTC,2,3,3,4,3,1,10,11
27178,Unknown,NA,1,2,3,2,NA,6,NA
27421,BTC,1,4,1,2,1,1,7,8
27763,BTB,3,1,3,4,4,1,8,9
27797,BTC,3,1,2,2,3,4,5,9
28153,BTS,2,2,3,4,4,1,9,10
28444,BTC,2,4,4,4,4,1,12,13
28469,BTC,3,4,4,2,2,3,10,13
28815,BTC,2,4,3,3,3,1,10,11
28960,BTC,1,4,3,2,3,1,9,10
29079,BTB,2,1,3,4,4,4,8,12
29462,Unknown,NA,1,2,2,2,4,5,9
29870,BTC,2,3,3,4,4,1,10,11
30249,BTC,2,2,4,4,3,1,10,11
30253,BTC,2,3,3,4,4,2,10,12
30281,Unknown,NA,3,1,1,1,2,5,7
30333,BTC,1,2,1,1,1,3,4,7
30390,BTB,3,1,4,4,4,1,9,10
30602,BTC,2,1,4,4,4,2,9,11
30690,BTC,2,1,4,3,4,1,8,9
30901,BTC,2,3,3,4,4,1,10,11
31200,BTC,2,2,4,4,4,2,10,12
31476,BTC,2,3,4,4,3,2,11,13
31505,BTC,2,2,4,2,4,3,8,11
31645,Unknown,NA,1,1,1,1,3,3,6
31847,BTC,2,4,4,4,3,3,12,15
32333,BTS,2,4,3,3,3,3,10,13
32658,Unknown,NA,1,2,2,2,4,5,9
32879,BTC,3,1,1,3,3,1,5,6
32961,BTC,1,4,2,2,2,1,8,9
33133,Unknown,NA,3,1,1,1,2,5,7
33472,Unknown,NA,4,2,3,2,4,9,13
33566,BTC,NA,1,2,2,2,NA,5,NA
33700,BTC,3,1,2,2,3,3,5,8
34241,BTC,3,1,2,2,2,4,5,9
34323,BTC,2,2,4,3,3,4,9,13
34474,BTC,1,4,2,1,1,3,7,10
35144,BTC,1,4,1,1,1,2,6,8
35319,BTC,2,4,3,4,3,1,11,12
35323,BTC,1,2,1,1,1,3,4,7
35634,BTS,NA,3,3,4,3,NA,10,NA
35647,BTC,3,1,3,3,2,3,7,10
36055,BTC,1,2,1,2,1,2,5,7
36741,BTC,3,1,1,1,3,3,3,6
36772,BTC,2,4,4,1,3,1,9,10
37094,BTC,2,1,4,4,4,4,9,13
37345,Unknown,NA,1,2,1,2,3,4,7
37751,BTS,4,3,1,1,3,1,5,6
38167,BTC,2,4,4,4,4,2,12,14
38329,BTC,2,4,4,4,3,1,12,13
38463,BTC,NA,1,3,4,4,NA,8,NA
38470,BTB,3,4,4,4,4,1,12,13
38795,BTC,2,4,4,3,3,4,11,15
38909,Unknown,NA,3,1,2,1,3,6,9
38945,BTC,2,3,3,4,3,2,10,12
39092,BTC,2,1,3,4,4,4,8,12
39210,BTC,1,1,1,1,1,1,3,4
39411,Unknown,NA,2,1,1,2,4,4,8
40170,BTC,3,1,2,2,2,4,5,9
40525,BTC,3,1,3,3,3,4,7,11
40583,BTC,2,3,3,4,3,1,10,11
41129,BTC,1,3,1,1,2,2,5,7
41191,BTC,2,4,4,4,4,4,12,16
41202,BTC,3,1,2,2,2,4,5,9
41427,BTS,4,1,1,2,2,1,4,5
41484,BTC,1,3,2,2,1,1,7,8
41583,Unknown,NA,2,2,1,2,4,5,9
41620,BTS,1,4,1,2,1,1,7,8
41895,Unknown,NA,4,1,2,1,4,7,11
42289,BTC,2,1,4,3,3,1,8,9
43078,BTS,2,2,4,4,4,4,10,14
43282,Unknown,NA,4,1,2,1,3,7,10
43894,BTC,3,3,3,2,3,2,8,10
44408,BTS,3,1,1,1,1,2,3,5
44581,BTC,2,2,3,3,2,2,8,10
45423,Unknown,NA,2,1,3,2,4,6,10
45496,BTC,2,3,3,3,3,3,9,12
46012,BTC,3,1,2,2,3,3,5,8
46521,Unknown,NA,4,1,1,1,3,6,9
46662,BTC,2,4,3,3,3,1,10,11
46810,BTC,3,4,3,1,3,3,8,11
47127,BTC,2,4,2,2,4,1,8,9
47142,BTC,2,4,4,4,4,1,12,13
47204,BTC,3,4,1,3,1,4,8,12
47629,BTC,2,4,4,4,4,4,12,16
47632,BTC,2,2,4,4,4,4,10,14
47780,BTC,1,1,1,1,1,3,3,6
47821,BTC,3,4,3,3,3,4,10,14
47947,BTC,1,3,2,1,1,3,6,9
48068,BTC,3,1,4,3,3,4,8,12
48122,BTC,1,3,3,2,2,1,8,9
48305,Unknown,NA,4,3,4,3,3,11,14
48330,Unknown,NA,3,2,1,2,4,6,10
48361,BTC,3,2,1,2,1,4,5,9
48362,Unknown,NA,3,1,2,1,2,6,8
48399,BTC,1,1,4,3,2,1,8,9
48744,BTC,3,4,3,1,3,4,8,12
49219,Unknown,NA,3,2,3,2,4,8,12
49224,BTC,2,1,3,4,4,4,8,12
49226,BTC,1,2,2,3,2,1,7,8
49437,BTC,1,3,1,2,1,3,6,9
49684,BTC,2,1,4,4,4,1,9,10
49772,BTC,2,4,3,4,3,1,11,12
49849,BTC,2,1,3,4,2,1,8,9
49858,BTC,2,1,4,3,4,3,8,11
49930,Unknown,NA,1,2,2,2,4,5,9
50179,BTC,1,1,2,2,2,1,5,6
50182,BTS,4,1,2,2,2,1,5,6
50533,Unknown,NA,1,2,3,2,NA,6,NA
50563,BTC,3,3,3,2,2,3,8,11
50801,BTC,3,1,3,1,3,3,5,8
50827,BTC,2,4,4,4,4,1,12,13
50849,BTC,1,4,1,1,2,3,6,9
51127,BTC,2,4,4,4,3,1,12,13
51314,BTC,2,2,3,4,4,1,9,10
51351,BTC,2,2,2,2,3,1,6,7
51357,BTC,2,2,4,4,4,1,10,11
51365,BTC,1,1,1,2,1,2,4,6
51492,Unknown,NA,1,1,2,1,2,4,6
51561,Unknown,NA,1,2,1,2,2,4,6
51916,BTC,3,1,3,3,3,4,7,11
51968,BTC,3,1,3,1,2,4,5,9
51991,BTC,3,2,4,3,3,3,9,12
52211,BTC,1,2,1,1,1,4,4,8
52476,BTC,3,2,2,2,2,4,6,10
52491,BTC,3,3,2,2,2,4,7,11
52501,BTC,2,2,3,4,4,1,9,10
52514,BTC,1,3,1,2,1,3,6,9
52738,Unknown,NA,2,1,1,1,3,4,7
53035,BTC,1,2,1,2,2,1,5,6
53161,BTB,1,3,2,2,2,3,7,10
53273,BTB,3,3,3,3,3,1,9,10
53307,Unknown,NA,1,3,4,4,4,8,12
53680,BTS,4,1,1,1,3,1,3,4
53894,Unknown,NA,2,1,2,1,3,5,8
54018,BTC,2,4,3,3,4,1,10,11
54061,Unknown,NA,3,2,1,2,4,6,10
54089,BTC,2,1,3,4,4,3,8,11
54822,BTC,1,2,1,1,1,2,4,6
55062,BTC,3,1,2,2,2,3,5,8
55069,BTC,NA,2,2,2,3,NA,6,NA
55588,BTC,1,4,2,2,2,1,8,9
55724,BTC,3,2,2,2,2,3,6,9
56002,Unknown,NA,3,1,1,1,3,5,8
56157,BTC,2,2,3,4,4,1,9,10
56423,BTC,1,2,3,2,1,1,7,8
56446,Unknown,NA,1,1,2,2,4,4,8
56568,Unknown,NA,1,1,2,1,NA,4,NA
56612,BTB,3,2,3,4,3,1,9,10
56618,Unknown,NA,4,1,1,1,2,6,8
57097,BTC,2,3,3,4,4,1,10,11
57214,BTC,1,1,3,2,1,1,6,7
58464,BTC,1,3,1,1,1,1,5,6
58467,BTC,3,3,4,2,3,3,9,12
58660,BTC,3,1,2,3,2,4,6,10
58667,BTC,3,4,4,2,2,3,10,13
59198,BTC,1,4,1,1,1,1,6,7
59370,BTC,2,1,3,4,4,1,8,9
59586,BTC,2,3,3,4,3,1,10,11
59884,BTC,2,3,4,4,4,1,11,12
59885,BTC,NA,2,1,2,1,NA,5,NA
60037,Unknown,NA,1,3,1,3,3,5,8
60108,Unknown,NA,3,1,1,1,3,5,8
60350,BTC,3,3,4,1,3,2,8,10
60564,BTC,1,3,1,2,1,1,6,7
60642,BTC,2,3,3,4,4,1,10,11
60813,Unknown,NA,1,1,2,2,4,4,8
61224,Unknown,NA,2,1,2,2,4,5,9
61252,BTC,1,1,3,3,3,1,7,8
61393,BTC,2,3,3,3,3,1,9,10
61409,BTC,2,2,3,3,4,4,8,12
61834,BTC,1,2,2,2,2,1,6,7
62171,BTC,2,4,4,4,3,1,12,13
62364,BTC,1,4,2,2,1,2,8,10
62408,BTS,3,4,3,2,2,3,9,12
62543,Unknown,NA,4,1,2,2,1,7,8
62583,BTS,4,3,3,2,2,1,8,9
62804,BTC,1,4,3,2,1,2,9,11
62870,BTC,3,1,1,2,2,4,4,8
62970,BTC,1,3,1,2,1,2,6,8
62979,Unknown,NA,4,1,1,1,1,6,7
63086,BTC,1,1,2,2,2,1,5,6
63196,Unknown,NA,1,2,1,2,4,4,8
63538,BTC,2,1,4,4,4,4,9,13
63950,BTC,2,4,4,4,4,4,12,16
64195,Unknown,NA,1,2,3,2,3,6,9
64519,BTC,3,1,2,1,2,3,4,7
65017,BTC,1,3,1,1,3,1,5,6
65093,BTC,2,1,4,4,4,2,9,11
65117,BTC,1,1,1,1,1,1,3,4
65496,BTC,1,1,2,2,2,1,5,6
65561,Unknown,NA,1,2,2,2,4,5,9
65806,Unknown,NA,3,1,2,2,4,6,10
65816,BTC,1,3,1,1,1,3,5,8
66031,BTC,2,3,4,4,4,4,11,15
66531,BTC,2,3,3,3,3,1,9,10
66648,Unknown,NA,1,2,3,2,3,6,9
67143,BTS,3,3,2,3,3,4,8,12
67351,BTC,2,3,3,3,3,2,9,11
67657,Unknown,NA,1,1,2,2,4,4,8
67725,Unknown,NA,3,2,2,2,1,7,8
67970,BTC,1,3,1,1,1,1,5,6
68104,BTC,NA,3,2,2,2,NA,7,NA
68978,BTC,2,3,4,4,4,1,11,12
69062,BTC,3,4,2,3,2,4,9,13
69150,Unknown,NA,3,3,3,3,3,9,12
70170,BTC,3,4,3,1,2,3,8,11
70486,Unknown,NA,1,1,2,2,2,4,6
70489,Unknown,NA,2,2,1,2,4,5,9
70549,BTC,3,2,3,2,2,4,7,11
70708,Unknown,NA,2,2,3,3,3,7,10
70793,BTC,3,2,3,2,2,2,7,9
70988,BTC,1,1,1,1,2,1,3,4
71195,BTC,2,2,4,4,4,4,10,14
71456,BTC,3,1,4,1,4,3,6,9
71986,BTC,3,4,2,3,2,3,9,12
72270,BTC,2,4,3,4,3,1,11,12
72311,BTC,2,4,4,4,3,2,12,14
72870,Unknown,NA,3,1,1,1,2,5,7
72872,Unknown,NA,4,1,1,1,3,6,9
73368,BTC,2,2,4,3,4,3,9,12
73408,BTC,2,1,4,3,3,2,8,10
73723,BTC,1,1,1,1,1,3,3,6
73799,BTC,2,3,4,4,4,1,11,12
73998,BTC,2,1,3,4,4,1,8,9
74000,BTC,3,2,4,1,1,2,7,9
74001,Unknown,NA,1,1,1,1,2,3,5
74036,Unknown,NA,1,2,3,2,4,6,10
74312,Unknown,NA,2,2,2,2,1,6,7
74538,BTC,1,1,1,1,1,3,3,6
74639,BTS,2,3,3,4,4,1,10,11
74645,BTC,3,4,2,1,2,4,7,11
75049,BTC,3,1,3,4,3,4,8,12
75447,BTC,1,2,2,2,2,1,6,7
75542,Unknown,NA,4,1,2,2,3,7,10
75737,BTC,2,4,4,3,2,1,11,12
75942,Unknown,NA,2,2,1,2,3,5,8
76148,BTC,3,3,2,3,3,4,8,12
76497,BTC,2,3,4,3,3,4,10,14
76647,Unknown,NA,4,1,3,2,3,8,11
76836,BTC,2,3,3,4,3,1,10,11
77206,BTC,3,2,2,3,2,3,7,10
77422,BTC,2,1,4,4,4,1,9,10
78144,BTS,3,2,2,3,3,2,7,9
78239,Unknown,NA,2,1,1,1,2,4,6
78462,BTC,3,4,2,3,3,3,9,12
78538,Unknown,NA,3,1,2,1,NA,6,NA
78752,Unknown,NA,1,2,3,3,4,6,10
78875,BTC,NA,2,1,1,2,NA,4,NA
78897,BTC,1,1,3,2,2,1,6,7
79146,Unknown,NA,1,1,1,1,2,3,5
79241,BTB,3,4,4,4,4,1,12,13
79266,BTB,3,4,3,4,3,1,11,12
79602,BTC,2,4,4,4,3,3,12,15
79812,BTC,3,3,3,2,3,3,8,11
80125,BTC,2,1,3,4,4,1,8,9
80190,Unknown,NA,4,2,1,2,4,7,11
80239,Unknown,NA,2,1,2,2,3,5,8
80271,BTC,3,2,2,2,1,3,6,9
80745,BTC,2,3,3,4,4,4,10,14
80875,BTC,1,3,2,2,1,1,7,8
80928,BTC,3,3,4,1,2,2,8,10
81179,Unknown,NA,2,2,2,2,1,6,7
81571,BTB,1,3,2,3,1,2,8,10
81953,BTC,2,2,4,4,4,4,10,14
81970,BTC,1,2,1,1,1,2,4,6
82383,BTC,2,1,4,3,3,1,8,9
82743,BTC,3,1,3,2,2,4,6,10
82868,Unknown,NA,4,1,2,2,4,7,11
83060,BTC,3,1,3,2,3,3,6,9
83200,BTC,3,1,2,3,3,2,6,8
83322,BTC,2,2,3,3,3,1,8,9
83448,BTC,2,1,4,3,4,2,8,10
83455,BTC,3,2,2,2,1,3,6,9
83569,BTC,2,4,3,4,3,2,11,13
84024,BTS,1,3,1,1,1,3,5,8
84095,BTC,3,3,2,3,2,4,8,12
84116,BTC,2,4,4,4,3,1,12,13
84206,Unknown,NA,2,1,3,2,4,6,10
84333,BTC,2,2,3,4,4,3,9,12
84348,BTC,2,3,3,3,3,1,9,10
84385,BTC,3,2,3,3,3,4,8,12
84766,BTC,2,4,3,4,3,1,11,12
85079,BTS,NA,2,2,2,1,NA,6,NA
85311,Unknown,NA,3,1,2,2,3,6,9
85548,BTC,3,3,2,2,2,4,7,11
85560,BTC,2,4,4,4,4,1,12,13
85608,BTC,2,3,3,4,3,1,10,11
85790,BTB,2,2,3,3,2,4,8,12
85983,Unknown,NA,1,2,2,2,1,5,6
86059,BTS,3,3,2,3,2,4,8,12
86110,BTC,2,3,4,4,3,1,11,12
86155,BTC,2,1,3,4,4,1,8,9
86475,BTC,2,2,3,4,4,1,9,10
86756,BTC,NA,1,1,2,2,NA,4,NA
86824,BTC,3,3,3,2,3,4,8,12
87033,BTC,2,4,4,3,4,3,11,14
87123,BTC,3,2,2,3,3,4,7,11
87147,BTC,NA,3,3,4,3,NA,10,NA
87564,Unknown,NA,4,1,2,1,3,7,10
87582,BTC,2,3,4,3,4,2,10,12
87594,BTB,3,2,3,4,3,1,9,10
87671,BTS,2,1,3,4,4,1,8,9
87712,BTC,1,2,2,2,2,1,6,7
87785,Unknown,NA,2,1,2,2,4,5,9
87798,BTB,2,1,4,4,4,2,9,11
87830,BTC,2,3,4,4,3,3,11,14
88013,BTC,2,4,3,4,3,1,11,12
88496,BTB,1,2,2,2,2,2,6,8
88755,Unknown,NA,3,2,2,2,1,7,8
88811,BTC,3,3,3,1,2,4,7,11
88989,Unknown,NA,3,2,1,2,2,6,8
89323,BTC,3,4,3,3,2,4,10,14
89458,BTB,1,3,2,2,1,1,7,8
89698,BTS,2,4,4,4,3,1,12,13
89910,BTB,3,2,4,3,2,2,9,11
89991,BTC,2,2,3,4,3,2,9,11
90211,BTC,1,1,1,1,2,2,3,5
90249,BTC,2,4,3,4,4,1,11,12
90276,Unknown,NA,4,2,1,2,4,7,11
90657,Unknown,NA,2,1,2,1,3,5,8
91288,BTB,1,2,1,1,1,1,4,5
91451,BTC,2,2,4,4,4,4,10,14
91706,Unknown,NA,4,1,2,2,3,7,10
92025,Unknown,NA,3,2,3,2,1,8,9
92495,BTS,2,2,4,4,4,3,10,13
92669,Unknown,NA,2,1,1,1,3,4,7
93019,BTC,2,2,4,4,4,4,10,14
93149,BTC,2,2,3,3,3,2,8,10
93633,BTC,2,4,3,3,3,1,10,11
93967,Unknown,NA,3,1,2,2,3,6,9
94010,BTC,2,2,3,4,3,4,9,13
94028,BTC,3,1,2,3,4,4,6,10
94098,BTC,1,3,3,1,1,2,7,9
94476,BTC,3,3,2,2,2,4,7,11
94692,Unknown,NA,4,1,2,2,1,7,8
94922,BTC,2,4,3,4,4,1,11,12
94990,BTS,3,2,3,2,2,2,7,9
95356,BTC,2,3,4,4,4,3,11,14
95363,BTC,2,4,3,3,3,2,10,12
95714,Unknown,NA,2,1,1,2,3,4,7
95834,BTC,2,2,3,4,4,1,9,10
95858,BTS,2,3,4,4,4,4,11,15
95964,BTC,3,2,2,2,2,4,6,10
96322,Unknown,NA,2,1,1,1,3,4,7
96335,BTC,3,2,2,1,3,4,5,9
96388,BTC,3,3,3,3,3,3,9,12
96650,BTS,3,4,2,3,2,3,9,12
96737,BTC,3,3,3,1,3,4,7,11
96739,Unknown,NA,1,2,3,2,3,6,9
96825,BTC,2,2,3,4,4,4,9,13
96956,BTC,2,4,4,3,3,4,11,15
97115,BTC,1,3,1,1,1,2,5,7
97142,BTC,2,2,4,4,4,2,10,12
97209,BTC,2,2,3,2,3,1,7,8
97261,BTC,1,3,1,1,1,1,5,6
97280,BTC,2,3,3,4,3,1,10,11
97833,BTC,2,1,4,3,4,1,8,9
98174,Unknown,NA,4,1,1,1,2,6,8
98522,Unknown,NA,2,1,1,1,2,4,6
98663,BTC,2,3,4,3,3,2,10,12
98764,BTC,2,2,4,4,4,1,10,11
98886,BTC,1,4,1,1,1,1,6,7
99480,BTC,3,1,1,1,1,3,3,6
99508,BTC,2,3,4,4,4,4,11,15
99551,BTC,3,4,3,3,3,4,10,14
99572,BTC,3,1,1,2,2,4,4,8
99713,BTS,2,3,3,4,3,1,10,11
99816,BTC,NA,2,1,2,1,NA,5,NA
100219,BTC,2,2,4,3,3,1,9,10
100384,BTC,NA,1,3,2,2,NA,6,NA
100663,BTC,1,2,3,2,2,1,7,8
100847,BTC,2,4,3,4,3,3,11,14
100855,Unknown,NA,1,1,3,2,3,5,8
100860,BTC,3,3,3,2,2,4,8,12
100895,BTC,1,1,1,1,1,3,3,6
101583,BTC,3,1,2,3,2,2,6,8
101891,BTC,1,4,1,1,3,1,6,7
102259,BTC,3,1,1,2,2,3,4,7
102332,BTC,2,4,4,4,3,1,12,13
102720,BTS,2,3,3,4,4,3,10,13
102936,BTC,2,2,3,3,3,1,8,9
103813,BTC,2,4,4,3,4,2,11,13
103921,BTC,2,3,4,4,4,1,11,12
104421,BTC,2,4,4,4,3,1,12,13
105050,Unknown,NA,1,1,3,2,4,5,9
105380,BTC,1,2,1,1,1,2,4,6
105437,BTC,2,2,3,4,4,4,9,13
106047,BTC,2,4,4,3,4,3,11,14
106110,BTC,NA,1,4,4,2,NA,9,NA
106355,Unknown,NA,3,1,3,2,4,7,11
106442,BTC,1,4,1,1,1,2,6,8
106517,Unknown,NA,3,1,1,1,3,5,8
106845,BTC,1,4,2,2,1,1,8,9
107742,BTS,NA,3,1,1,4,NA,5,NA
107768,BTC,1,3,1,1,1,2,5,7
107813,Unknown,NA,4,1,1,2,3,6,9
108047,Unknown,NA,1,1,1,1,2,3,5
108081,BTC,2,1,3,4,4,1,8,9
108087,Unknown,NA,4,1,1,1,3,6,9
108137,BTC,1,3,1,2,1,2,6,8
108496,BTB,2,2,2,3,3,3,7,10
108913,BTC,3,3,3,3,3,3,9,12
109464,BTC,3,2,1,1,3,4,4,8
109787,BTC,2,2,4,4,4,1,10,11
109833,BTC,3,3,1,3,2,4,7,11
109900,BTC,1,2,2,1,1,1,5,6
110074,Unknown,NA,1,1,3,2,3,5,8
110246,BTS,3,1,1,3,3,4,5,9
110865,BTC,2,3,4,4,3,4,11,15
111191,BTC,3,1,1,2,2,4,4,8
111395,Unknown,NA,3,1,2,2,4,6,10
112029,Unknown,NA,2,1,2,2,3,5,8
112356,Unknown,NA,3,1,2,2,2,6,8
112494,BTS,2,4,4,4,4,1,12,13
112923,BTC,2,3,4,4,3,2,11,13
113292,BTC,2,1,4,4,4,4,9,13
113398,BTC,3,4,3,2,2,4,9,13
113560,BTS,1,4,1,1,1,3,6,9
113614,Unknown,NA,3,1,1,1,3,5,8
113766,Unknown,NA,1,2,1,2,3,4,7
114642,BTC,1,4,1,1,1,2,6,8
114698,BTC,1,2,1,1,1,3,4,7
114735,BTC,3,2,2,3,3,4,7,11
115108,BTC,2,3,3,4,3,2,10,12
115153,BTC,NA,2,4,3,1,NA,9,NA
115318,BTS,4,1,1,2,2,1,4,5
115397,Unknown,NA,4,1,2,1,4,7,11
115412,BTC,2,2,4,4,4,1,10,11
115707,BTS,3,2,1,2,1,3,5,8
116034,BTC,2,1,2,3,3,1,6,7
116338,BTC,3,1,1,2,2,3,4,7
116393,BTC,3,1,2,2,3,2,5,7
